match_id,country,comp_name,season,home_team,away_team,prediction,odds_yes,odds_no,base_bet,recommended_bet_yes,recommended_bet_no,time_remaining_sec,match_start_datetime_utc,bet_placed,won
1238104,Turkey,Süper Lig,2024,Kayserispor,Hatayspor,0.452497095,2.43,1.48,100,6.962793044,0,989,2025-03-28 13:00 UTC,6.96,0
1203182,Poland,Ekstraklasa,2024,Piast Gliwice,Widzew Lodz,0.49425481,1.58,2.24,100,0,10.71,1200,2025-03-28 17:00 UTC,10.71,0
1362792,Denmark,Superliga,2024,Aalborg,Viborg,0.4801293,2.22,1.66,100,5.4,0,480,2025-03-28 18:00 UTC,5.4,0
1212687,France,Ligue 2,2024,Bastia,Dunkerque,0.531068504,1.6,2.34,100,0,7.261171715,930,2025-03-28 19:00 UTC,7.26,0
1217860,Spain,Segunda División,2024,Tenerife,Granada CF,0.53727746,1.52,2.5,100,0,10.45375665,2115,2025-03-28 19:00 UTC,10.45,26.13
1203180,Poland,Ekstraklasa,2024,Legia Warszawa,Pogon Szczecin,0.48325637,2.3,1.54,100,8.57612697,0,1896,2025-03-28 19:00 UTC,8.58,19.73
1224209,Germany,Bundesliga,2024,Bayer Leverkusen,VfL Bochum,0.456469625,2.87,1.46,100,16.58116708,0,1746,2025-03-28 19:00 UTC,16.58,0
1217406,England,League Two,2024,Colchester,Grimsby,0.533746958,1.44,2.54,100,0,11.96641086,1412,2025-03-28 19:00 UTC,11.97,30.4
1238101,Turkey,Süper Lig,2024,Sivasspor,Adana Demirspor,0.494280785,2.81,1.36,100,21.48779043,0,562,2025-03-29 10:00 UTC,21.49,0
1226400,Germany,2. Bundesliga,2024,Hannover 96,1. FC Magdeburg,0.455082625,2.51,1.55,100,9.421019148,0,2073,2025-03-29 12:00 UTC,9.42,23.64
1217403,England,League Two,2024,Accrington ST,Bradford,0.545196891,1.45,2.5,100,0,9.133851528,308,2025-03-29 12:00 UTC,9.13,0
1217407,England,League Two,2024,Crewe,Port Vale,0.523591876,1.55,2.28,100,0,6.735197082,274,2025-03-29 12:00 UTC,6.74,0
1217858,Spain,Segunda División,2024,Eldense,Burgos,0.531266451,1.43,2.77,100,0,16.85830119,2011,2025-03-29 13:00 UTC,16.86,0
1238107,Turkey,Süper Lig,2024,Samsunspor,Kasimpasa,0.398023307,1.9,1.8,100,0,10.44475585,289,2025-03-29 13:00 UTC,10.44,0
1238106,Turkey,Süper Lig,2024,Trabzonspor,Goztepe,0.396990448,1.85,1.85,100,0,13.59619656,258,2025-03-29 13:00 UTC,13.6,0
1208751,Spain,La Liga,2024,Real Sociedad,Valladolid,0.535135984,1.96,1.93,100,5.090263486,0,172,2025-03-29 13:00 UTC,5.09,0
1234932,Italy,Serie B,2024,Cosenza,Pisa,0.524610639,1.63,2.28,100,0,6.553729996,1873,2025-03-29 14:00 UTC,6.55,14.93
1224216,Germany,Bundesliga,2024,Borussia Mönchengladbach,RB Leipzig,0.456920475,2.62,1.54,100,12.16861999,0,2823,2025-03-29 14:00 UTC,12.17,31.89
1224210,Germany,Bundesliga,2024,Bayern München,FC St. Pauli,0.392175049,3.11,1.4,100,10.41063512,0,1987,2025-03-29 14:00 UTC,10.41,0
1212938,Spain,La Liga,2024,Espanyol,Atletico Madrid,0.528221846,1.7,2.27,100,0,5.585544128,41,2025-03-29 15:00 UTC,5.59,0
1217859,Spain,Segunda División,2024,Racing Ferrol,Deportivo La Coruna,0.547171831,1.51,2.51,100,0,9.046271779,25,2025-03-29 15:00 UTC,9.05,0
1213680,Netherlands,Eredivisie,2024,NAC Breda,Groningen,0.513746619,1.72,2.19,100,0,5.453353269,819,2025-03-29 15:00 UTC,5.45,0
1234933,Italy,Serie B,2024,Cremonese,Cittadella,0.506883025,2.08,1.75,100,5.029323366,0,1885,2025-03-29 16:00 UTC,5.03,0
1203179,Poland,Ekstraklasa,2024,Lechia Gdansk,Jagiellonia,0.525669575,2.08,1.66,100,8.647473653,0,1526,2025-03-29 16:00 UTC,8.65,17.99
1361728,Belgium,Jupiler Pro League,2024,Union St. Gilloise,Antwerp,0.505847692,2.17,1.73,100,8.349529291,0,1604,2025-03-29 19:00 UTC,8.35,0
1208754,Spain,La Liga,2024,Real Madrid,Leganes,0.451998711,2.77,1.45,100,14.23934624,0,2569,2025-03-29 20:00 UTC,14.24,0
1213681,Netherlands,Eredivisie,2024,PEC Zwolle,Waalwijk,0.526413023,2.2,1.71,100,13.17572097,0,650,2025-03-29 20:00 UTC,13.18,29
1213989,France,Ligue 1,2024,Monaco,Nice,0.37811783,2.32,1.68,100,0,6.582653873,883,2025-03-29 20:00 UTC,6.58,11.05
1213675,Netherlands,Eredivisie,2024,Utrecht,Heerenveen,0.405909747,2.1,1.75,100,0,5.287725727,2,2025-03-30 10:00 UTC,5.29,0
1208750,Spain,La Liga,2024,Getafe,Villarreal,0.541342258,1.6,2.48,100,0,9.288594529,1997,2025-03-30 12:00 UTC,9.29,23.04
1217855,Spain,Segunda División,2024,Cordoba,Elche,0.484060615,1.61,2.32,100,0,14.92267973,1906,2025-03-30 12:00 UTC,14.92,34.61
1213682,Netherlands,Eredivisie,2024,PSV Eindhoven,Ajax,0.413967103,2.88,1.44,100,10.22474766,0,2848,2025-03-30 12:00 UTC,10.22,29.43
1362793,Denmark,Superliga,2024,Sonderjyske,Silkeborg,0.507486343,2.08,1.75,100,5.145517985,0,827,2025-03-30 12:00 UTC,5.15,0
